Video Name,SI ,TI,E,H,K(VMAF)
Fun_on_the_river_s019,18.8467,13.461,17.65,36.0807,101343.0191
Fun_on_the_river_s020,20.2097,14.0991,20.0167,41.8311,78169.7407
Fun_on_the_river_s021,20.3707,7.69046,18.3583,17.9185,156100.1627
Fun_on_the_river_s022,22.4915,6.05748,20.175,10.7158,208344.7951
Fun_on_the_river_s023,20.9304,9.22936,20.4667,21.7768,139036.4933
Fun_on_the_river_s024,21.2982,12.8753,22.775,33.5633,98596.21524
Fun_on_the_river_s025,21.1763,11.2385,22.85,30.8213,100325.7367
Fun_on_the_river_s026,23.8938,11.3518,26.5333,30.405,113408.2161
Fun_on_the_river_s027,23.7523,10.821,26.4833,28.6854,111107.8408
Fun_on_the_river_s028,22.9464,10.3434,25.3667,26.9326,116300.9233
Indoor_Soccer_000,17.5414,11.1183,19.2917,11.0682,274329.1015
Indoor_Soccer_001,49.1536,5.13202,36.8417,7.5414,288318.1626
Indoor_Soccer_002,21.2497,16.8018,27.0417,15.4827,225390.2511
Indoor_Soccer_004,18.1026,18.0831,20.925,14.3326,259512.5328
Indoor_Soccer_005,17.9638,20.7757,16.225,19.3247,273050.4645
Indoor_Soccer_006,17.1156,15.5273,16.425,12.9105,268995.7882
Indoor_Soccer_007,18.6945,21.8464,20.1167,20.9505,216796.448
Indoor_Soccer_008,13.62,22.8311,17.9333,18.7166,233532.7337
Indoor_Soccer_009,16.3214,17.4316,16.175,13.1248,264003.6177
Indoor_Soccer_010,27.8962,8.52796,38.8,10.1145,246415.846
Indoor_Soccer_011,29.0615,9.42659,36.125,8.7109,276058.5757
Indoor_Soccer_012,8.10923,6.68824,7.0167,12.8297,313012.6453
Indoor_Soccer_013,19.87,20.5859,21.9583,24.8401,259715.774
Indoor_Soccer_015,21.5284,20.1634,30.7667,22.0998,195925.3035
Indoor_Soccer_016,20.9498,13.5311,28.4833,13.9085,245657.6996
Indoor_Soccer_017,24.9057,10.445,36.5417,13.9128,220384.932
Indoor_Soccer_019,23.307,16.4941,28.9833,17.2889,230370.7781
Indoor_Soccer_020,21.6662,10.7566,30.9583,12.5278,223555.0418
Indoor_Soccer_021,26.7161,7.33879,35.2167,10.6202,244532.3695
Indoor_Soccer_022,16.437,5.65326,25.2417,8.3008,230876.3476
Indoor_Soccer_023,12.8999,23.0508,17.85,17.8354,216719.5152
Indoor_Soccer_024,13.1386,18.7016,16.25,13.6512,243509.8816
Indoor_Soccer_025,21.2422,17.2531,28.75,16.0398,213109.8549
Indoor_Soccer_026,30.8683,11.0768,40.1833,13.5968,238466.7509
Indoor_Soccer_027,31.931,9.3777,41.4,12.3504,241071.1671
Indoor_Soccer_028,32.6444,12.9016,42.2667,16.6063,238382.0848
Indoor_Soccer_029,31.5271,8.69525,40.2583,11.8173,244451.8339
Indoor_Soccer_030,32.7436,7.86912,42,10.906,245916.1351
Indoor_Soccer_031,22.0755,18.6506,30.7083,24.2438,215223.2031
Indoor_Soccer_032,18.941,20.5597,25.5,24.7908,234868.6709
Indoor_Soccer_033,15.9553,24.2005,26.4583,24.3004,182625.9206
Indoor_Soccer_034,13.3187,16.7291,16.1167,15.366,246797.0208
Indoor_Soccer_036,23.5331,16.3622,31.6583,18.335,225162.189
Indoor_Soccer_037,25.5161,15.1076,34.4417,17.1943,238914.1281
Indoor_Soccer_038,29.5608,11.2033,37.1083,13.9829,249290.7621
Indoor_Soccer_039,31.5662,10.9424,40.1583,15.7431,245943.4444
Indoor_Soccer_040,30.5107,8.35484,39.45,11.2472,256499.1112
Indoor_Soccer_041,23.0839,16.055,35.05,18.2827,198476.83
Indoor_Soccer_042,13.8262,19.491,22.05,16.1792,218361.1608
Indoor_Soccer_043,10.7099,7.971,18.375,7.6527,239935.0216
Indoor_Soccer_044,19.5511,2.76692,15.2083,5.2387,278163.1317
Indoor_Soccer_046,95.9039,0.439105,57.3833,3.4157,325062.1249
Indoor_Soccer_048,44.3175,0.341195,20.0667,1.7592,326285.2377
Lifting_Off_s000,19.5387,1.82643,19.1667,3.0738,290077.795
Lifting_Off_s001,30.8039,6.71848,23.375,7.082,253135.5785
Lifting_Off_s002,38.6931,13.0237,25.175,16.6447,206252.3314
Lifting_Off_s004,21.8496,9.92483,20.4917,14.2917,222956.6514
Lifting_Off_s005,25.96,5.53667,28.675,6.8023,222313.945
Lifting_Off_s006,20.8657,2.52257,12.5833,3.4426,307587.1799
Lifting_Off_s007,23.4742,3.07116,15.125,3.5599,302913.815
Lifting_Off_s008,32.3432,4.19967,26,3.9307,271680.6078
Lifting_Off_s009,32.4458,3.99553,26,3.8035,272230.5871
Lifting_Off_s010,33.247,4.59402,26.3167,5.006,257338.511
Lifting_Off_s011,36.0369,4.4939,28,4.3712,245662.0341
Lifting_Off_s012,35.6438,4.5248,27.7833,4.4627,247102.1415
Lifting_Off_s013,34.1483,5.40483,27.0417,5.9624,251378.4728
Lifting_Off_s014,30.6982,4.7662,24.4083,4.4804,282672.4279
Lifting_Off_s015,30.6672,3.74813,24,3.8131,287713.3789
Lifting_Off_s016,19.1261,8.42741,16.2167,8.4883,284660.2641
Lifting_Off_s017,15.2261,12.0567,13.4167,11.294,286296.8347
Lifting_Off_s018,12.9172,9.0212,11.2917,8.6111,288567.5787
Lifting_Off_s019,14.386,7.27792,12.1083,7.1018,288409.2736
Lifting_Off_s020,16.7244,4.86007,14.3833,5.3773,292568.7871
